id,lat,lon,title,comment,art,bytte,dato,aar,kommune,funnsted,datatype,vurdering
K406640,62.590823,10.0008,Sau skadet av gaupe,Ett dyr er  drept. Skaden er undersøkt av SNO. Skadeårsaken er dokumentert. Skaden skjedde i utmark.,Gaupe,Sau,2007-09-16,2007,Rennebu (N),Kvolvdalen-Innerdalen,Rovviltskade,Dokumentert
K406646,64.329931,12.752803,Sau skadet av jerv,Ett dyr er  drept. Skaden er undersøkt av SNO. Skadeårsaken er dokumentert. Skaden skjedde i utmark.,Jerv,Sau,2007-09-10,2007,Snåase - Snåsa (N),Andorfjellet,Rovviltskade,Dokumentert
K406701,62.361316,10.914942,Sau skadet av gaupe,Ett dyr er  drept. Skaden er undersøkt av SNO. Skadeårsaken er dokumentert. Skaden skjedde i utmark.,Gaupe,Sau,2007-08-18,2007,Tolga (N),Telneset,Rovviltskade,Dokumentert
K406702,62.513128,9.292367,Sau skadet av jerv,Ett dyr er  drept. Skaden er undersøkt av SNO. Skadeårsaken er dokumentert. Skaden skjedde i utmark.,Jerv,Sau,2007-09-12,2007,Oppdal (N),Fiskbekklia,Rovviltskade,Dokumentert
K406761,61.685213,10.557266,Sau skadet av bjørn,Ett dyr er  drept. Skaden er undersøkt av SNO. Skadeårsaken er dokumentert. Skaden skjedde i utmark.,Bjørn,Sau,2007-08-19,2007,Ringebu (N),Helakskletten,Rovviltskade,Dokumentert
K406762,62.285191,10.900478,Sau skadet av bjørn,Ett dyr er  drept. Skaden er undersøkt av SNO. Skadeårsaken er dokumentert. Skaden skjedde i utmark.,Bjørn,Sau,2007-08-27,2007,Tynset (N),Hopsæteråsen,Rovviltskade,Dokumentert
K406770,62.117545,10.744259,Sau skadet av bjørn,Ett dyr er  drept. Skaden er undersøkt av SNO. Skadeårsaken er dokumentert. Skaden skjedde i utmark.,Bjørn,Sau,2007-08-24,2007,Tynset (N),Einåsen,Rovviltskade,Dokumentert
K406792,62.069058,9.899379,Sau skadet av jerv,Ett dyr er  drept. Skaden er undersøkt av SNO. Skadeårsaken er antatt sikker. Skaden skjedde i utmark.,Jerv,Sau,2007-09-09,2007,Dovre (N),Ørnhovda,Rovviltskade,Antatt sikker
K406801,62.120356,10.734841,Sau skadet av bjørn,Ett dyr er  drept. Skaden er undersøkt av SNO. Skadeårsaken er dokumentert. Skaden skjedde i utmark.,Bjørn,Sau,2007-08-24,2007,Alvdal (N),Einåsen,Rovviltskade,Dokumentert
K406810,62.134107,10.712603,Sau skadet av bjørn,Ett dyr er  drept. Skaden er undersøkt av SNO. Skadeårsaken er dokumentert. Skaden skjedde i utmark.,Bjørn,Sau,2007-08-28,2007,Alvdal (N),v/Nysætra,Rovviltskade,Dokumentert
K406821,62.146645,11.275612,Sau skadet av bjørn,Ett dyr er  drept. Skaden er undersøkt av SNO. Skadeårsaken er dokumentert. Skaden skjedde i utmark.,Bjørn,Sau,2007-09-13,2007,Rendalen (N),Spekedalen,Rovviltskade,Dokumentert
K406841,62.194618,11.25231,Sau skadet av jerv,Ett dyr er  drept. Skaden er undersøkt av SNO. Skadeårsaken er dokumentert. Skaden skjedde i utmark.,Jerv,Sau,2007-08-31,2007,Tolga (N),brurhøgda,Rovviltskade,Dokumentert
K406852,62.110246,11.13677,Sau skadet av bjørn,Ett dyr er  drept. Skaden er undersøkt av SNO. Skadeårsaken er dokumentert. Skaden skjedde i utmark.,Bjørn,Sau,2007-08-07,2007,Rendalen (N),Joten,Rovviltskade,Dokumentert
