id,lat,lon,title,comment,art,bytte,dato,aar,kommune,funnsted,datatype,vurdering
K544161,66.232997,15.007116,Rein skadet av jerv,Ett dyr er  drept. Skaden er undersøkt av SNO. Skadeårsaken er dokumentert. Skaden skjedde i utmark.,Jerv,Rein,2026-01-18,2026,Rana (N),Vegaksla,Rovviltskade,Dokumentert
K542969,64.99624,12.121157,Sau skadet av kongeørn,Ett dyr er  drept. Skaden er undersøkt av SNO. Skadeårsaken er antatt sikker. Skaden skjedde i utmark.,Kongeørn,Sau,2025-09-06,2025,Nærøysund (N),Grønlandsfjellet,Rovviltskade,Antatt sikker
K543022,62.900369,11.603506,Rein skadet av kongeørn,Ett dyr er  drept. Skaden er undersøkt av SNO. Skadeårsaken er antatt sikker. Skaden skjedde i utmark.,Kongeørn,Rein,2025-08-07,2025,Tydal (N),Blåstøten,Rovviltskade,Antatt sikker
K543104,69.871258,22.806247,Rein skadet av gaupe,Ett dyr er  drept. Skaden er undersøkt av SNO. Skadeårsaken er usikker. Skaden skjedde i utmark.,Gaupe,Rein,2025-09-11,2025,Alta (N),Oaggovarri,Rovviltskade,Usikker
K543125,62.09106,8.777096,Sau skadet av jerv,Ett dyr er  drept. Skaden er undersøkt av SNO. Skadeårsaken er dokumentert. Skaden skjedde i utmark.,Jerv,Sau,2025-09-12,2025,Lesja (N),,Rovviltskade,Dokumentert
K543170,65.457929,14.181411,Sau skadet av gaupe,Ett dyr er  drept. Skaden er undersøkt av SNO. Skadeårsaken er antatt sikker. Skaden skjedde i utmark.,Gaupe,Sau,2025-09-13,2025,Aarborte - Hattfjelldal (N),pantdal ,Rovviltskade,Antatt sikker
K543188,61.615672,7.184843,Sau skadet av jerv,Ett dyr er  drept. Skaden er undersøkt av SNO. Skadeårsaken er dokumentert. Skaden skjedde i utmark.,Jerv,Sau,2025-09-12,2025,Luster (N),Røykjedalen ,Rovviltskade,Dokumentert
K543222,69.332798,19.83995,Rein skadet av kongeørn,Ett dyr er  drept. Skaden er undersøkt av SNO. Skadeårsaken er dokumentert. Skaden skjedde i utmark.,Kongeørn,Rein,2025-08-22,2025,Storfjord - Omasvuotna - Omasvuono (N),Eanavárri,Rovviltskade,Dokumentert
K543273,69.948918,25.306743,Sau skadet av gaupe,Ett dyr er  drept. Skaden er undersøkt av SNO. Skadeårsaken er antatt sikker. Skaden skjedde i utmark.,Gaupe,Sau,2025-09-20,2025,Porsanger - Porsá?gu - Porsanki (N),,Rovviltskade,Antatt sikker
K543314,69.484589,19.016483,Sau skadet av gaupe,Ett dyr er  drept. Skaden er undersøkt av SNO. Skadeårsaken er antatt sikker. Skaden skjedde i utmark.,Gaupe,Sau,2025-09-20,2025,Balsfjord (N),Tuva,Rovviltskade,Antatt sikker
K543417,63.091989,10.191712,Sau skadet av gaupe,Ett dyr er  drept. Skaden er undersøkt av SNO. Skadeårsaken er dokumentert. Skaden skjedde i utmark.,Gaupe,Sau,2025-09-27,2025,Melhus (N),gammelvollmoen,Rovviltskade,Dokumentert
K543635,59.236229,6.671172,Sau skadet av jerv,Ett dyr er  drept. Skaden er undersøkt av SNO. Skadeårsaken er dokumentert. Skaden skjedde i utmark.,Jerv,Sau,2025-10-13,2025,Hjelmeland (N),,Rovviltskade,Dokumentert
K543637,67.088618,14.948393,Sau skadet av gaupe,Ett dyr er  drept. Skaden er undersøkt av SNO. Skadeårsaken er dokumentert. Skaden skjedde i utmark.,Gaupe,Sau,2025-10-12,2025,Bodø (N),fjellskar,Rovviltskade,Dokumentert
K543666,66.455839,15.27695,Rein skadet av gaupe,Ett dyr er  drept. Skaden er undersøkt av SNO. Skadeårsaken er dokumentert. Skaden skjedde i utmark.,Gaupe,Rein,2025-10-18,2025,Rana (N),Randalen,Rovviltskade,Dokumentert
K543766,63.277295,11.255111,Sau skadet av jerv,Ett dyr er  drept. Skaden er undersøkt av SNO. Skadeårsaken er dokumentert. Skaden skjedde i utmark.,Jerv,Sau,2025-11-01,2025,Selbu (N),Stubbvollen,Rovviltskade,Dokumentert
K543802,63.279621,11.243153,Sau skadet av jerv,Ett dyr er  drept. Skaden er undersøkt av SNO. Skadeårsaken er usikker. Skaden skjedde i utmark.,Jerv,Sau,2025-11-06,2025,Selbu (N),Prestfossen,Rovviltskade,Usikker
K543854,69.122881,18.541081,Rein skadet av gaupe,Ett dyr er  drept. Skaden er undersøkt av SNO. Skadeårsaken er dokumentert. Skaden skjedde i utmark.,Gaupe,Rein,2025-11-21,2025,Målselv (N),,Rovviltskade,Dokumentert
