id,lat,lon,title,comment,art,bytte,dato,aar,kommune,funnsted,datatype,vurdering
K520242,70.346107,25.448182,Rein skadet av gaupe,Ett dyr er  drept. Skaden er undersøkt av SNO. Skadeårsaken er dokumentert. Skaden skjedde i utmark.,Gaupe,Rein,2022-02-01,2022,Porsanger - Porsá?gu - Porsanki (N),Cahppesvarri omr,Rovviltskade,Dokumentert
K520271,70.331698,25.433904,Rein skadet av gaupe,Ett dyr er  drept. Skaden er undersøkt av SNO. Skadeårsaken er antatt sikker. Skaden skjedde i utmark.,Gaupe,Rein,2022-02-02,2022,Porsanger - Porsá?gu - Porsanki (N),Cahppesvarri omr,Rovviltskade,Antatt sikker
K520281,70.428541,27.981862,Rein skadet av jerv,Ett dyr er  drept. Skaden er undersøkt av SNO. Skadeårsaken er antatt sikker. Skaden skjedde i utmark.,Jerv,Rein,2022-01-26,2022,Deatnu - Tana (N),,Rovviltskade,Antatt sikker
K520298,64.453963,12.733656,Rein skadet av gaupe,Ett dyr er  drept. Skaden er undersøkt av SNO. Skadeårsaken er dokumentert. Skaden skjedde i utmark.,Gaupe,Rein,2022-02-03,2022,Grong (N),Sandøldal/Nynesfjellet,Rovviltskade,Dokumentert
K520338,70.337235,25.414204,Rein skadet av gaupe,Ett dyr er  drept. Skaden er undersøkt av SNO. Skadeårsaken er antatt sikker. Skaden skjedde i utmark.,Gaupe,Rein,2022-02-08,2022,Porsanger - Porsá?gu - Porsanki (N),Cahppesvarri omr,Rovviltskade,Antatt sikker
K520342,70.338884,25.455653,Rein skadet av gaupe,Ett dyr er  drept. Skaden er undersøkt av SNO. Skadeårsaken er antatt sikker. Skaden skjedde i utmark.,Gaupe,Rein,2022-02-08,2022,Porsanger - Porsá?gu - Porsanki (N),Cahppesvarri omr,Rovviltskade,Antatt sikker
K520348,69.153028,24.694662,Rein skadet av kongeørn,Ett dyr er  drept. Skaden er undersøkt av SNO. Skadeårsaken er antatt sikker. Skaden skjedde i utmark.,Kongeørn,Rein,2022-02-02,2022,Kárášjohka - Karasjok (N),salcu,Rovviltskade,Antatt sikker
K520359,69.711462,30.624563,Rein skadet av gaupe,Ett dyr er  drept. Skaden er undersøkt av SNO. Skadeårsaken er antatt sikker. Skaden skjedde i utmark.,Gaupe,Rein,2022-02-10,2022,Sør-Varanger (N),Skaidi,Rovviltskade,Antatt sikker
K520393,69.971463,25.040836,Rein skadet av gaupe,Ett dyr er  drept. Skaden er undersøkt av SNO. Skadeårsaken er antatt sikker. Skaden skjedde i utmark.,Gaupe,Rein,2022-02-13,2022,Porsanger - Porsá?gu - Porsanki (N),Leavdnjavarri,Rovviltskade,Antatt sikker
K520394,69.965225,25.045512,Rein skadet av gaupe,Ett dyr er  drept. Skaden er undersøkt av SNO. Skadeårsaken er antatt sikker. Skaden skjedde i utmark.,Gaupe,Rein,2022-02-13,2022,Porsanger - Porsá?gu - Porsanki (N),Leavdnjavarri,Rovviltskade,Antatt sikker
K520437,69.086485,21.030788,Rein skadet av jerv,Ett dyr er  drept. Skaden er undersøkt av SNO. Skadeårsaken er dokumentert. Skaden skjedde i utmark.,Jerv,Rein,2022-02-14,2022,Storfjord - Omasvuotna - Omasvuono (N),Sadgejavri,Rovviltskade,Dokumentert
K520466,66.614276,22.356529,Rein skadet av gaupe,Ett dyr er  drept. Skaden er undersøkt av Länsstyrelsen. Skadeårsaken er dokumentert.,Gaupe,Rein,2022-02-17,2022,Överkalix (S),Hällberget ,Rovviltskade,Dokumentert
K520472,63.493826,19.30908,Rein skadet av gaupe,Ett dyr er  drept. Rapport ikke kontrollert på stedet. Skadeårsaken er dokumentert. Skaden skjedde i utmark.,Gaupe,Rein,2022-02-02,2022,Nordmaling (S),Nordmalingen,Rovviltskade,Dokumentert
K520483,62.421111,14.200805,Rein skadet av jerv,Ett dyr er  drept. Skaden er undersøkt av en sameby. Skadeårsaken er antatt sikker.,Jerv,Rein,2022-02-18,2022,Berg (S),Gräsmyrskallen,Rovviltskade,Antatt sikker
K520499,70.109961,27.595603,Rein skadet av gaupe,Ett dyr er  drept. Skaden er undersøkt av SNO. Skadeårsaken er dokumentert. Skaden skjedde i utmark.,Gaupe,Rein,2022-02-06,2022,Deatnu - Tana (N),Buoiddesguoljavri,Rovviltskade,Dokumentert
K520500,69.125336,25.159785,Rein skadet av kongeørn,Ett dyr er  drept. Skaden er undersøkt av SNO. Skadeårsaken er dokumentert. Skaden skjedde i utmark.,Kongeørn,Rein,2022-02-19,2022,Kárášjohka - Karasjok (N),Njoammelcearru,Rovviltskade,Dokumentert
K520506,66.529456,22.672026,Rein skadet av gaupe,Ett dyr er  drept. Skaden er undersøkt av Länsstyrelsen. Skadeårsaken er dokumentert.,Gaupe,Rein,2022-02-21,2022,Överkalix (S),Kattisberget,Rovviltskade,Dokumentert
K519976,70.364121,25.503545,Rein skadet av gaupe,Ett dyr er  drept. Skaden er undersøkt av SNO. Skadeårsaken er dokumentert. Skaden skjedde i utmark.,Gaupe,Rein,2022-01-09,2022,Porsanger - Porsá?gu - Porsanki (N),Holmfjord,Rovviltskade,Dokumentert
K520011,63.914722,16.754386,Rein skadet av gaupe,Ett dyr er  drept. Skaden er undersøkt av Länsstyrelsen. Skadeårsaken er antatt sikker.,Gaupe,Rein,2022-01-11,2022,Sollefteå (S),Lappmovägen,Rovviltskade,Antatt sikker
K520138,66.033695,19.532135,Rein skadet av gaupe,Ett dyr er  drept. Skaden er undersøkt av Länsstyrelsen. Skadeårsaken er dokumentert.,Gaupe,Rein,2022-01-24,2022,Arvidsjaur (S),VarjiSträsk,Rovviltskade,Dokumentert
